cfg,phase,xi,scale,sigma,resp_rms,err
139,node,10.0,4.0,8e-06,1.3904395101101122e-06,5.129932415373674e-06
139,node,20.0,1.0,2e-06,4.020939859534288e-07,1.1337150435991878e-06
139,node,20.0,4.0,8e-06,1.6083759438137151e-06,4.531848165700446e-06
139,node,50.0,1.0,2e-06,6.391356705799566e-07,4.993931313510435e-07
139,node,50.0,4.0,8e-06,2.5565426823198265e-06,1.9826972385956493e-06
139,node,,1.0,2e-06,5.568494527673063e-07,6.577050819389325e-07
139,node,,4.0,8e-06,2.2273978110692253e-06,2.6751046060376587e-06
169,node,0.0,1.0,2e-06,1.094973277230668e-07,6.331094085330335e-06
169,node,0.0,4.0,8e-06,4.379893108922672e-07,2.5328303597425573e-05
169,node,1.0,1.0,2e-06,1.0554373388737394e-07,4.1149129852742305e-06
169,node,1.0,4.0,8e-06,4.2217493554949577e-07,1.6451715029980255e-05
169,node,2.0,1.0,2e-06,1.8854720084591948e-07,1.989511942274717e-06
169,node,2.0,4.0,8e-06,7.541888033836779e-07,7.953789830514803e-06
169,node,5.0,1.0,2e-06,1.9854281418122833e-07,2.062999036150031e-06
169,node,5.0,4.0,8e-06,7.941712567249133e-07,8.250786584842166e-06
169,node,10.0,1.0,2e-06,2.2747005009413967e-07,1.5149205128927774e-06
169,node,10.0,4.0,8e-06,9.098802003765587e-07,6.055849814768753e-06
169,node,20.0,1.0,2e-06,2.858385947393486e-07,7.311720616045919e-07
169,node,20.0,4.0,8e-06,1.1433543789573944e-06,2.927397966831272e-06
169,node,50.0,1.0,2e-06,3.507764973757846e-07,5.570723273396567e-07
169,node,50.0,4.0,8e-06,1.4031059895031384e-06,2.221618427294852e-06
169,node,,1.0,2e-06,7.129737994324661e-07,4.3063596356341494e-07
169,node,,4.0,8e-06,2.8518951977298646e-06,1.837515125797308e-06
200,node,0.0,1.0,2e-06,4.528294567827751e-08,5.0910492452880605e-06
200,node,0.0,4.0,8e-06,1.8113178271311004e-07,2.0359172595246407e-05
200,node,1.0,1.0,2e-06,1.0531253648224423e-07,2.6751795004013606e-06
200,node,1.0,4.0,8e-06,4.212501459289769e-07,1.0701963983848972e-05
200,node,2.0,1.0,2e-06,1.249617888504526e-07,2.676149437578737e-06
200,node,2.0,4.0,8e-06,4.998471554018104e-07,1.0704109519329542e-05
200,node,5.0,1.0,2e-06,1.2975574706594193e-07,1.8896884242664876e-06
200,node,5.0,4.0,8e-06,5.190229882637677e-07,7.568989062054946e-06
200,node,10.0,1.0,2e-06,1.4099482198933767e-07,7.456831270310718e-07
200,node,10.0,4.0,8e-06,5.639792879573507e-07,2.9955102515842363e-06
200,node,20.0,1.0,2e-06,2.5781947626024126e-07,5.674916366958793e-07
200,node,20.0,4.0,8e-06,1.031277905040965e-06,2.271894186461952e-06
200,node,50.0,1.0,2e-06,2.901269301121261e-07,5.067478300811087e-07
200,node,50.0,4.0,8e-06,1.1605077204485044e-06,2.0091577723280524e-06
200,node,,1.0,2e-06,3.5697795484488545e-07,5.499374551572953e-07
200,node,,4.0,8e-06,1.4279118193795418e-06,2.180121196014302e-06
1,anti,0.0,1.0,2e-06,2.6957492683820715e-08,1.5253973124423515e-05
1,anti,0.0,4.0,8e-06,1.0782997073528286e-07,6.103326152441288e-05
1,anti,1.0,1.0,2e-06,1.4463321226668318e-08,3.702510390494606e-05
1,anti,1.0,4.0,8e-06,5.785328490667327e-08,0.00014812506376896595
1,anti,2.0,1.0,2e-06,1.3855136260988923e-08,0.00017275287337348974
1,anti,2.0,4.0,8e-06,5.542054504395569e-08,0.0006910304233896359
1,anti,5.0,1.0,2e-06,7.645521717879733e-09,0.00042731417629688696
1,anti,5.0,4.0,8e-06,3.058208687151893e-08,0.0017092447976869134
1,anti,10.0,1.0,2e-06,5.588346052021096e-09,0.0007059535303276062
1,anti,10.0,4.0,8e-06,2.2353384208084385e-08,0.0028237104810191816
1,anti,20.0,1.0,2e-06,4.9375644107561896e-09,0.0011931389120148955
1,anti,20.0,4.0,8e-06,1.9750257643024758e-08,0.0047727530254728645
1,anti,50.0,1.0,2e-06,2.58555838239526e-09,0.005061425369283319
1,anti,50.0,4.0,8e-06,1.034223352958104e-08,0.020245383487474237
1,anti,,1.0,2e-06,2.5051824523125165e-11,0.7834840882483008
1,anti,,4.0,8e-06,1.0020729809250066e-10,3.133934745853253
29,anti,0.0,1.0,2e-06,6.540044734145355e-08,2.5884418065483038e-05
29,anti,0.0,4.0,8e-06,2.616017893658142e-07,0.00010352245092175583
29,anti,1.0,1.0,2e-06,6.853978142569793e-08,2.8128519932401914e-05
29,anti,1.0,4.0,8e-06,2.741591257027917e-07,0.00011249911134853862
29,anti,2.0,1.0,2e-06,4.3249547202879774e-08,0.0001297608306987489
29,anti,2.0,4.0,8e-06,1.729981888115191e-07,0.0005190536593005751
29,anti,5.0,1.0,2e-06,3.0469264846634416e-08,0.0002551949286638372
29,anti,5.0,4.0,8e-06,1.2187705938653766e-07,0.0010208053983588954
29,anti,10.0,1.0,2e-06,2.4410240762414877e-08,0.0007626247323598736
29,anti,10.0,4.0,8e-06,9.764096304965951e-08,0.00305048308879442
29,anti,20.0,1.0,2e-06,1.7797031676699208e-08,0.0019092249652421579
29,anti,20.0,4.0,8e-06,7.118812670679683e-08,0.0076368968765278405
29,anti,50.0,1.0,2e-06,9.020770190708141e-09,0.0067221403994957105
29,anti,50.0,4.0,8e-06,3.6083080762832564e-08,0.0268885807066674
29,anti,,1.0,2e-06,1.3585973117814044e-11,4.430851838417911
29,anti,,4.0,8e-06,5.4343892471256176e-11,17.723402070426665
56,anti,0.0,1.0,2e-06,2.2955999824571966e-08,1.1535670148266761e-05
56,anti,0.0,4.0,8e-06,9.182399929828787e-08,4.61799370764994e-05
56,anti,1.0,1.0,2e-06,1.5141859212698568e-08,2.917226110862212e-05
56,anti,1.0,4.0,8e-06,6.056743685079427e-08,0.00011669647378644291
56,anti,2.0,1.0,2e-06,8.507117783623782e-09,0.0001605796680066992
56,anti,2.0,4.0,8e-06,3.402847113449513e-08,0.0006424037181328246
56,anti,5.0,1.0,2e-06,4.78128951580233e-09,0.00021158148645426854
56,anti,5.0,4.0,8e-06,1.912515806320932e-08,0.0008465328025683389
56,anti,10.0,1.0,2e-06,4.422148734429801e-09,0.0010817623435565036
56,anti,10.0,4.0,8e-06,1.7688594937719203e-08,0.00432728966320853
56,anti,20.0,1.0,2e-06,2.937987407322295e-09,0.0025807413947216474
56,anti,20.0,4.0,8e-06,1.175194962928918e-08,0.010323093188960492
56,anti,50.0,1.0,2e-06,2.5514622770131476e-09,0.0031739835568341877
56,anti,50.0,4.0,8e-06,1.020584910805259e-08,0.012696306421097788
56,anti,,1.0,2e-06,3.554259088162663e-11,0.4979387409495498
56,anti,,4.0,8e-06,1.4217036352650653e-10,1.9917847085465425
86,anti,0.0,1.0,2e-06,2.2900346860526398e-08,2.9802490071178266e-05
86,anti,0.0,4.0,8e-06,9.160138744210559e-08,0.00011921089018474705
86,anti,1.0,1.0,2e-06,2.8392769569769263e-08,4.4669670960462167e-05
86,anti,1.0,4.0,8e-06,1.1357107827907705e-07,0.00017871362546841992
86,anti,2.0,1.0,2e-06,1.2443437363148293e-08,8.003845913767343e-05
86,anti,2.0,4.0,8e-06,4.977374945259317e-08,0.00032025761868725736
86,anti,5.0,1.0,2e-06,1.374211727084134e-08,0.00036780976692790744
86,anti,5.0,4.0,8e-06,5.496846908336536e-08,0.001471330541539366
86,anti,10.0,1.0,2e-06,8.925619607254845e-09,0.0011818250271271166
86,anti,10.0,4.0,8e-06,3.570247842901938e-08,0.004727384923376716
86,anti,20.0,1.0,2e-06,7.156491875606876e-09,0.0020327947056589303
86,anti,20.0,4.0,8e-06,2.8625967502427503e-08,0.008131229653509854
86,anti,50.0,1.0,2e-06,4.127215207906168e-09,0.009227630038782476
86,anti,50.0,4.0,8e-06,1.650886083162467e-08,0.036910650721404085
86,anti,,1.0,2e-06,4.468281224519228e-11,1.8674486716202905
86,anti,,4.0,8e-06,1.7873124898076911e-10,7.469800053109799
114,anti,0.0,1.0,2e-06,6.254191052525533e-08,1.7801305350352772e-05
114,anti,0.0,4.0,8e-06,2.501676421010213e-07,7.124216050365535e-05
114,anti,1.0,1.0,2e-06,5.0615877352810026e-08,1.7128513767482384e-05
114,anti,1.0,4.0,8e-06,2.024635094112401e-07,6.857822917439283e-05
114,anti,2.0,1.0,2e-06,2.2599894420579218e-08,6.627626861469234e-05
114,anti,2.0,4.0,8e-06,9.039957768231687e-08,0.00026517248816256456
114,anti,5.0,1.0,2e-06,1.9952828661148094e-08,0.00039411957922045877
114,anti,5.0,4.0,8e-06,7.981131464459238e-08,0.0015765680694968544
114,anti,10.0,1.0,2e-06,1.780540954930837e-08,0.0003405647351043389
114,anti,10.0,4.0,8e-06,7.122163819723349e-08,0.0013624348847575097
114,anti,20.0,1.0,2e-06,1.1495003517062192e-08,0.002150100137043741
114,anti,20.0,4.0,8e-06,4.598001406824877e-08,0.008600624429003514
114,anti,50.0,1.0,2e-06,5.547978989564722e-09,0.006254747149650482
114,anti,50.0,4.0,8e-06,2.219191595825889e-08,0.025019294916173045
114,anti,,1.0,2e-06,1.0347043125023901e-11,2.2793297284857346
114,anti,,4.0,8e-06,4.1388172500095604e-11,9.117628953781297
142,anti,0.0,1.0,2e-06,9.464952774597515e-08,1.807997575883113e-05
142,anti,0.0,4.0,8e-06,3.785981109839006e-07,7.231584945236714e-05
142,anti,1.0,1.0,2e-06,5.382028134488104e-08,4.876412785671135e-05
142,anti,1.0,4.0,8e-06,2.1528112537952416e-07,0.0001950516661991389
142,anti,2.0,1.0,2e-06,5.712563241583383e-08,0.000155563527885645
142,anti,2.0,4.0,8e-06,2.2850252966333533e-07,0.000622242429448685
142,anti,5.0,1.0,2e-06,3.1952391428831416e-08,0.00024507461725869833
