cfg,phase,xi,scale,sigma,resp_rms,err
1,anti,5.0,4.0,8e-06,1.3907300510270847e-08,0.0009010170015540021
1,anti,10.0,1.0,2e-06,3.611294211669602e-09,0.0009357782768130871
1,anti,10.0,4.0,8e-06,1.4445176846678407e-08,0.0037430056440006807
1,anti,20.0,1.0,2e-06,2.6377664324885403e-09,0.0020889150765484904
1,anti,20.0,4.0,8e-06,1.0551065729954161e-08,0.008355636200709357
1,anti,50.0,1.0,2e-06,1.5442996116275555e-09,0.0018287951412961564
1,anti,50.0,4.0,8e-06,6.177198446510222e-09,0.007314934075626727
1,anti,,1.0,2e-06,5.346809462727244e-13,3.670853319156388
1,anti,,4.0,8e-06,2.1387237850908976e-12,14.682714117584265
29,anti,0.0,1.0,2e-06,1.672596708192073e-09,1.950962777559582e-05
29,anti,0.0,4.0,8e-06,6.690386832768292e-09,7.808158048835667e-05
29,anti,1.0,1.0,2e-06,1.51786167004768e-09,3.0342847142152595e-05
29,anti,1.0,4.0,8e-06,6.07144668019072e-09,0.00012174630643833155
29,anti,2.0,1.0,2e-06,9.562204102959634e-10,9.534607274777843e-05
29,anti,2.0,4.0,8e-06,3.8248816411838534e-09,0.00038188910452279667
29,anti,5.0,1.0,2e-06,6.894001882926691e-10,0.0002601591069213568
29,anti,5.0,4.0,8e-06,2.7576007531706762e-09,0.0010413855449206207
29,anti,10.0,1.0,2e-06,4.075917947330184e-10,0.0009073670639671611
29,anti,10.0,4.0,8e-06,1.6303671789320735e-09,0.0036315377982296614
29,anti,20.0,1.0,2e-06,2.2424827138180506e-10,0.0027122486693465144
29,anti,20.0,4.0,8e-06,8.969930855272202e-10,0.010850952977345509
29,anti,50.0,1.0,2e-06,2.4241903772543203e-10,0.006815914473434201
29,anti,50.0,4.0,8e-06,9.696761509017281e-10,0.02726430511736532
29,anti,,1.0,2e-06,2.69831921139341e-12,0.5774523783455291
29,anti,,4.0,8e-06,1.079327684557364e-11,2.3100101586304054
57,anti,0.0,1.0,2e-06,1.071102755442077e-09,1.785141093699113e-05
57,anti,0.0,4.0,8e-06,4.284411021768308e-09,7.128162812502645e-05
57,anti,1.0,1.0,2e-06,8.872211837327698e-10,5.215392595362275e-05
57,anti,1.0,4.0,8e-06,3.5488847349310793e-09,0.0002083003297853135
57,anti,2.0,1.0,2e-06,4.787611420226134e-10,0.00014299410972850929
57,anti,2.0,4.0,8e-06,1.9150445680904535e-09,0.0005715314840924664
57,anti,5.0,1.0,2e-06,2.2495945048067088e-10,0.0007743184863018426
57,anti,5.0,4.0,8e-06,8.998378019226835e-10,0.0030943910262335177
57,anti,10.0,1.0,2e-06,2.6329230935732004e-10,0.000867776016937791
57,anti,10.0,4.0,8e-06,1.0531692374292802e-09,0.003469801961735035
57,anti,20.0,1.0,2e-06,2.2340573747875805e-10,0.0020813330444491287
57,anti,20.0,4.0,8e-06,8.936229499150322e-10,0.008322621242851054
57,anti,50.0,1.0,2e-06,9.162421805864779e-11,0.00761116656717127
57,anti,50.0,4.0,8e-06,3.6649687223459114e-10,0.030436144268004256
57,anti,,1.0,2e-06,8.991618210426376e-14,6.551811930123056
57,anti,,4.0,8e-06,3.5966472841705505e-13,26.203865586049787
86,anti,0.0,1.0,2e-06,8.726993391742394e-10,8.215220501582954e-06
86,anti,0.0,4.0,8e-06,3.4907973566969576e-09,3.314184406082527e-05
86,anti,1.0,1.0,2e-06,7.40359277548948e-10,1.9431840490736024e-05
86,anti,1.0,4.0,8e-06,2.961437110195792e-09,7.87713270265548e-05
86,anti,2.0,1.0,2e-06,3.4819838486133443e-10,5.983678158160523e-05
86,anti,2.0,4.0,8e-06,1.3927935394453377e-09,0.00024046169637878228
86,anti,5.0,1.0,2e-06,2.756839528443093e-10,0.00012344214243029347
86,anti,5.0,4.0,8e-06,1.1027358113772371e-09,0.0004959800334974805
86,anti,10.0,1.0,2e-06,1.9896443219170234e-10,0.0006821283543585791
86,anti,10.0,4.0,8e-06,7.958577287668094e-10,0.0027298211354658984
86,anti,20.0,1.0,2e-06,1.6954112528076466e-10,0.001215037485276243
86,anti,20.0,4.0,8e-06,6.781645011230586e-10,0.004861439767875671
86,anti,50.0,1.0,2e-06,6.697528955786288e-11,0.0033325550206375386
86,anti,50.0,4.0,8e-06,2.6790115823145153e-10,0.013340270836631786
86,anti,,1.0,2e-06,6.437992325760216e-13,0.8855315055967936
86,anti,,4.0,8e-06,2.5751969303040865e-12,3.5432088032570475
114,anti,0.0,1.0,2e-06,6.081320027152351e-10,1.565383893402984e-05
114,anti,0.0,4.0,8e-06,2.4325280108609404e-09,6.162324808252204e-05
114,anti,1.0,1.0,2e-06,5.567959475238997e-10,3.4467459715410034e-05
114,anti,1.0,4.0,8e-06,2.227183790095599e-09,0.000137409437817305
